Data;CAlg;Subp;Num.Trcs;Num.Act;Num.Evt;DAlg;Fitn;Prec;Gen;Size;NumTrans;ACD;CFC;CNC;Density;Time.HierAct;Time.Hierlog;Time.Dalg;Time.quality;t/o fit;t/o gen;
BPIC15_1;DK;root;1199;35;9499;SM;0.7838393019070529;0.5833257978209656;0.6409145447934788;174;35;5.62962962962963;144;2.1206896551724137;0.012258321706198923;149;4654;1888;196946;false;
BPIC15_1;DK;root;1199;35;9499;IMf;0.896227015560149;0.5299777603685223;0.6843438536710525;130;30;3.203125;91;1.2923076923076924;0.01001788908765653;149;4654;936;89520;false;
BPIC15_1;DK;root;1199;35;9499;IM;1.0;0.17801284360330719;0.29556005607262764;163;35;3.3012048192771086;116;1.3251533742331287;0.0081799591002045;149;4654;548;294486;false;
BPIC15_1;DK;01_HOOFD;1199;18;12490;SM;0.7845100599520948;0.928305241235055;0.8548504124955382;51;18;3.2777777777777777;29;1.2156862745098038;0.02431372549019608;149;4654;161;4574;false;
BPIC15_1;DK;01_HOOFD;1199;18;12490;IMf;0.9316020626575587;0.4042462938360272;0.724333299430668;70;18;3.7;27;1.2285714285714286;0.01780538302277433;149;4654;255;7424;false;
BPIC15_1;DK;01_HOOFD;1199;18;12490;IM;1.0;0.2142841420372465;0.38962733186015946;80;18;3.3846153846153846;56;1.325;0.016772151898734176;149;4654;287;80128;false;
BPIC15_1;DK;11_AH;658;30;1045;SM;0.31777226845352985;0.5907233431137371;0.6033361669852199;116;30;3.6964285714285716;71;1.4051724137931034;0.012218890554722639;149;4654;158;8716;false;
BPIC15_1;DK;11_AH;658;30;1045;IMf;0.9889346764493726;0.3528682611476459;0.5791466137426107;111;30;4.172413793103448;41;1.2792792792792793;0.01162981162981163;149;4654;79;198328;false;
BPIC15_1;DK;11_AH;658;30;1045;IM;1.0;0.29507115410587403;0.3278531508062829;137;30;3.5555555555555554;73;1.2992700729927007;0.009553456419063976;149;4654;45;142613;false;
BPIC15_1;DK;08_AWB45;703;37;3327;SM;0.9543884214648463;0.6197320398097517;NaN;148;37;4.744186046511628;101;1.3986486486486487;0.009514616657473801;149;4654;568;230676;false;
BPIC15_1;DK;08_AWB45;703;37;3327;IMf;0.9661831293072336;0.3551464302511458;0.5846700504939227;75;33;4.8;58;1.4666666666666666;0.01981981981981982;149;4654;137;146294;false;
BPIC15_1;DK;root;1199;35;9499;SM;0.7756038512504797;0.6196668609619048;NaN;173;35;5.570093457943925;143;2.098265895953757;0.012199220325312543;338;8184;3386;89248;false;
BPIC15_1;DK;root;1199;35;9499;SM;0.783325306445671;0.5935967087193751;NaN;175;35;5.614678899082569;145;2.12;0.01218390804597701;92;4910;1893;123419;false;false;
BPIC15_1;DK;root;1199;35;9499;SM;0.7756038512504797;0.6280282988604486;NaN;173;35;5.570093457943925;143;2.098265895953757;0.012199220325312543;151;5307;2615;70275;false;true;
BPIC15_1;DK;root;1199;35;9499;IMf;0.896227015560149;0.5574126992812992;0.6560966601972205;125;30;3.25;87;1.296;0.010451612903225806;151;5307;867;364483;false;false;
BPIC15_1;DK;root;1199;35;9499;IM;1.0;0.13953491276846505;0.30124542564522455;142;35;3.6417910447761193;100;1.380281690140845;0.009789231844970532;151;5307;719;500139;false;false;
BPIC15_1;DK;01_HOOFD;1199;18;12490;SM;0.7845100599520948;0.928305241235055;0.8555574872663613;51;18;3.2777777777777777;29;1.2156862745098038;0.02431372549019608;151;5307;202;10190;false;false;
BPIC15_1;DK;01_HOOFD;1199;18;12490;IMf;0.9316020626575587;0.4042462938360272;0.6335850893478324;70;18;3.7;27;1.2285714285714286;0.01780538302277433;151;5307;649;32367;false;false;
BPIC15_1;DK;01_HOOFD;1199;18;12490;IM;1.0;0.21923418796761446;0.3856196626739772;82;18;3.3846153846153846;56;1.3170731707317074;0.016260162601626018;151;5307;409;84319;false;false;
BPIC15_1;DK;11_AH;658;30;1045;SM;0.31777226845352985;0.5907233431137371;0.6169525456807479;116;30;3.6964285714285716;71;1.4051724137931034;0.012218890554722639;151;5307;263;6615;false;false;
BPIC15_1;DK;11_AH;658;30;1045;IMf;0.9896523394010783;0.3293769562023027;0.5433636413423469;111;30;4.1;42;1.2792792792792793;0.01162981162981163;151;5307;87;261771;false;false;
BPIC15_1;DK;11_AH;658;30;1045;IM;1.0;0.18687152031727713;0.2947340789185675;146;30;3.4827586206896552;78;1.2876712328767124;0.008880491261218705;151;5307;49;65447;false;false;
BPIC15_1;DK;08_AWB45;703;37;3327;SM;0.9546165008900842;0.6216712289888103;0.7291888660337201;147;37;4.857142857142857;101;1.4081632653061225;0.009644953871959744;151;5307;609;81433;false;false;
BPIC15_1;DK;08_AWB45;703;37;3327;IMf;0.9661831293072336;0.35159731961195373;0.542374429357671;75;33;4.8;58;1.4666666666666666;0.01981981981981982;151;5307;142;449774;false;false;
BPIC15_1;DK;08_AWB45;703;37;3327;IM;1.0;0.1318298980677804;0.23828990374370543;184;37;3.3157894736842106;133;1.3369565217391304;0.007305773342836779;151;5307;256;2796146;false;true;
BPIC15_1;DK;06_VD;397;25;1630;SM;0.9004566025630327;0.7849873191987157;0.8145411888227619;70;25;3.6363636363636362;38;1.2571428571428571;0.018219461697722567;151;5307;632;5858;false;true;
BPIC15_1;DK;06_VD;397;25;1630;IMf;0.9626753126078708;0.35106140607419956;0.5987626222130245;46;25;6.444444444444445;29;1.434782608695652;0.03188405797101449;151;5307;64;6519;false;false;
BPIC15_1;DK;06_VD;397;25;1630;IM;1.0;0.23432854866575936;0.3537472522529687;103;25;3.3958333333333335;68;1.3203883495145632;0.012944983818770227;151;5307;60;248511;false;false;
BPIC15_1;DK;12_AP;22;17;54;SM;0.8597768652915712;0.6963770728190339;0.8458647792935482;61;17;4.035714285714286;38;1.459016393442623;0.024316939890710383;151;5307;56;746;false;false;
BPIC15_1;DK;12_AP;22;17;54;IMf;0.9903030303030304;0.7411119925001803;0.8277508216407062;49;17;3.466666666666667;25;1.2244897959183674;0.025510204081632654;151;5307;3;469;false;false;
BPIC15_1;DK;12_AP;22;17;54;IM;1.0;0.5298778461027089;0.7029639500865302;60;17;3.3333333333333335;31;1.2333333333333334;0.020903954802259886;151;5307;9;530;false;false;
BPIC15_1;DK;10_UOV;83;35;878;SM;0.7648765523387182;0.69100007427994;0.6988334462693679;124;35;4.0344827586206895;82;1.4758064516129032;0.011998426435877263;151;5307;154;10948;false;true;
BPIC15_1;DK;10_UOV;83;35;878;IMf;0.8890025350222182;0.27336590318312465;0.46356589256999453;113;34;4.0;60;1.3097345132743363;0.011694058154235146;151;5307;36;127877;false;false;
BPIC15_1;DK;10_UOV;83;35;878;IM;1.0;0.12289690530344702;0.24976302561603095;149;35;3.5072463768115942;103;1.342281879194631;0.009069472156720479;151;5307;58;138520;false;false;
BPIC15_1;DK;01_BB;168;25;502;SM;-1.0;NaN;0.8632094497663331;148;25;5.5;116;1.9662162162162162;0.013375620518477661;151;5307;146;2198;false;true;
BPIC15_1;DK;01_BB;168;25;502;IMf;0.9844850701775724;0.26301068317936577;0.5311239224686947;98;24;3.4130434782608696;67;1.3265306122448979;0.01367557332211235;151;5307;35;23059;false;false;
BPIC15_1;DK;01_BB;168;25;502;IM;1.0;0.16346086847282693;0.39812541741234253;107;25;3.462962962962963;78;1.3644859813084111;0.012872509257626522;151;5307;33;33194;false;false;
BPIC15_1;DK;02_DRZ;789;12;832;SM;0.997853184468345;0.9931404762072249;0.9930478942625226;34;12;3.6;18;1.2352941176470589;0.0374331550802139;151;5307;21;494;false;false;
BPIC15_1;DK;02_DRZ;789;12;832;IMf;0.9979283411988426;0.8583652644533225;0.9292738826052102;49;12;3.1;27;1.2244897959183674;0.025510204081632654;151;5307;17;662;false;false;
BPIC15_1;DK;02_DRZ;789;12;832;IM;1.0;0.538604906779225;0.6671691185327644;55;12;3.2857142857142856;30;1.2363636363636363;0.022895622895622896;151;5307;27;1022;false;false;
BPIC15_1;DK;07_OPS;134;14;172;SM;1.0;0.8369818437742176;0.9270248625778997;76;14;3.5384615384615383;45;1.263157894736842;0.016842105263157894;151;5307;48;864;false;false;
BPIC15_1;DK;07_OPS;134;14;172;IMf;0.9950265095483029;0.790227330454661;0.8293160709029737;65;14;3.0714285714285716;37;1.2307692307692308;0.019230769230769232;151;5307;24;785;false;false;
BPIC15_1;DK;07_OPS;134;14;172;IM;1.0;0.5255788898882637;0.7401957179938954;77;14;3.1470588235294117;44;1.2467532467532467;0.016404647983595352;151;5307;11;978;false;false;
BPIC15_1;DK;05_EIND;488;13;865;SM;0.9765517413720727;0.8134973596072234;0.851327540131118;41;13;4.0;26;1.3170731707317074;0.032926829268292684;151;5307;44;1672;false;false;
BPIC15_1;DK;05_EIND;488;13;865;IMf;0.9633739795296286;0.6453455369311685;0.8652052377235883;45;13;3.588235294117647;28;1.288888888888889;0.029292929292929294;151;5307;18;1671;false;false;
BPIC15_1;DK;05_EIND;488;13;865;IM;1.0;0.34489187528602283;0.5344600312523545;65;13;3.176470588235294;47;1.2923076923076924;0.020192307692307693;151;5307;22;2593;false;false;
BPIC15_1;DK;14_VRIJ;149;20;169;SM;1.0;0.9359049029106836;0.9653592987802474;42;20;3.6;9;1.0952380952380953;0.026713124274099883;151;5307;79;581;false;false;
BPIC15_1;DK;14_VRIJ;149;20;169;IMf;1.0;0.8351041924058973;0.9444495641112421;42;20;3.6;9;1.0952380952380953;0.026713124274099883;151;5307;3;292;false;false;
BPIC15_1;DK;14_VRIJ;149;20;169;IM;1.0;0.8351041924058973;0.9444515989057977;42;20;3.6;9;1.0952380952380953;0.026713124274099883;151;5307;6;339;false;false;
BPIC15_1;DK;15_NGV;50;1;50;SM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;151;5307;2;229;false;false;
BPIC15_1;DK;15_NGV;50;1;50;IMf;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;151;5307;0;195;false;false;
BPIC15_1;DK;15_NGV;50;1;50;IM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;151;5307;0;219;false;false;
BPIC15_1;DK;09_AH;929;4;957;SM;1.0;0.9977171294977663;0.9986142559852866;12;4;3.25;6;1.1666666666666667;0.10606060606060606;151;5307;14;353;false;false;
BPIC15_1;DK;09_AH;929;4;957;IMf;0.9982059562253319;1.0;0.9988844744963767;9;4;3.0;4;1.1111111111111112;0.1388888888888889;151;5307;7;340;false;false;
BPIC15_1;DK;09_AH;929;4;957;IM;1.0;0.997715378052155;0.9985762354617838;12;4;3.0;6;1.1666666666666667;0.10606060606060606;151;5307;4;323;false;false;
BPIC15_1;DK;03_VD;49;1;49;SM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;151;5307;2;303;false;false;
BPIC15_1;DK;03_VD;49;1;49;IMf;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;151;5307;0;299;false;false;
